Bedrooms,Building_exp,Comment,Cook_Replaced,Cooling,Cooling_Rooms,Cost_Cooling,Cost_DP,Cost_Door,Cost_Emitters,Cost_HP,Cost_Install,Cost_LI,Cost_TS,Cost_WI,Cost_Window,Date_Contact,Date_Installation,Date_Survey,Delivery_Contractor,Elec_currentuse,EmployStatus,EmployType,EstCost_Ancillary,EstCost_Etariff,EstCost_Gtariff,EstCost_Running,EstCost_System,Existing_Cooking,Existing_Fires,Financial_exp,Fires_replaced,Floor_Height,Floor_Type,Future_exp,GSHP_Space,Gas_currentuse,Gas_disconnect,Glazed_Type,HP_Aesthetic,HP_Awareness,HP_Brand,HP_Control_Zones,HP_Installed,HP_Installed_Detail,HP_Model,HP_NoRec_R1,HP_NoRec_R2,HP_Noise,HP_Recommend,HP_Refrigerant,HP_Size_kW,Habitable_Rooms,Heat_Primary_Source,Heat_Secondary_Source,Heated_rooms,HouseIncome,House_Age,House_Env,House_Form,House_SAP,House_Type,Install_time_HP,Install_time_measures,MCS_DHWAnnual,MCS_Flow_Temp,MCS_Hloss,MCS_Immersion,MCS_SCOP,MCS_SHAnnual,MCS_SHLoad,Main_Fuel,Mains_Gas_Flag,Measures_DP,Measures_Doors,Measures_Fanassist,Measures_Loft,Measures_Recommend,Measures_WI,Measures_Windows,Measures_emitters_LT,Measures_emitters_Std,Name_Install,Name_Survey,No_Adults,No_Child,No_Storeys,No_Underfloor,Other_exp,Outside_Access,Outside_Space,Part_Install_Decision,Part_No_Reason1,Part_No_Reason2,Participant_Age,Planned_exp,Postcode_1,Property_ID,Reason_Building,Reason_Financial,Reason_Future,Reason_Other,Reason_Planned,Reason_Replacement,Reason_Research,Reason_Sustainability,Reason_Technology,Reason_Upgrade,Replacement_exp,Research_exp,Roof_Type,Social_Group,Suit_ASHP,Suit_GSHP,Suit_HTASHP,Suit_Hybrid,Sustainability_exp,TS_Existing,TS_Existing_Size,TS_PCM_Size,TS_Type,TS_Water_Size,Technology_exp,Tenure,Tenure_Length,Total_Floor_Area,Upgrade_exp,Wall_Type,usmart_id
null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,2020-08-12T00:00:00.000Z,null,04/09/2020,E.ON,null,Retired,Pensioner,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"30,001 - 40,000",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Phoenix,null,null,null,null,null,null,null,No,Practical_DisruptionWorks,null,76,null,NE3,EOH0962,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,null,null,null,DE,null,null,null,null,VERY ENERGY CONSCIOUS,null,null,null,null,null,null,Owner-Occupied,34,null,null,null,"MoZOh4sBvqZCst4RZtTN"
null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,2020-08-10T00:00:00.000Z,null,null,E.ON,null,Working Full time (>30hrs),Professional,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"20,001 - 25,000",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,83,null,NE13,EOH3007,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,null,null,null,C1,null,null,null,null,null,null,null,null,null,null,null,Owner-Occupied,58,null,null,null,"OoZOh4sBvqZCst4RZtTN"
7,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,2020-09-02T00:00:00.000Z,null,12/10/2020,E.ON,null,Working Full time (>30hrs),Professional,null,null,null,null,null,0,0,null,null,2.4,Solid,null,null,null,null,Double,null,5,null,null,null,null,null,Technical_Size,null,null,None - Installation not recommended,null,null,9,Gas Boiler - Standard,None,18,"50,001+",2003 - 2006,Suburban,Detached,D,House,null,null,null,null,null,null,null,null,null,Gas,Yes,null,null,null,null,null,null,null,null,null,null,Phoenix,2,2,3,0,null,No,No,null,null,null,51,null,NE3,EOH0597,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,null,null,Pitched,AB,No,No,No,No,null,Water,210,null,null,null,null,Owner-Occupied,6,186,null,Cavity_Insulated,"Q4ZOh4sBvqZCst4RZtTN"
null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,2020-08-18T00:00:00.000Z,null,04/09/2020,E.ON,null,Working Full time (>30hrs),Clerical,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"30,001 - 40,000",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Phoenix,null,null,null,null,null,null,null,No,Practical_DisruptionWorks,null,21,null,NE13,EOH1396,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,null,null,null,C1,null,null,null,null,null,null,null,null,null,null,null,Owner-Occupied,1,null,null,null,"T4ZOh4sBvqZCst4RZtTN"
null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,2020-08-21T00:00:00.000Z,null,27/08/2020,E.ON,null,NOT AVAILABLE,NOT AVAILABLE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,NOT AVAILABLE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,E.ON,null,null,null,null,null,null,null,No,Practical_SpaceInternal,null,null,null,NE6,EOH0189,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,null,null,null,DE,null,null,null,null,null,null,null,null,null,null,null,Rented (Social),null,null,to replace inefficient / old gas boiler,null,"dYZOh4sBvqZCst4RZtTN"
null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,2020-08-14T00:00:00.000Z,null,09/09/2020,E.ON,null,Working Full time (>30hrs),Manager,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Prefer not to say,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Phoenix,null,null,null,null,null,null,null,No,Practical_DisruptionWorks,null,53,null,NE5,EOH2345,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,null,null,null,C1,null,null,null,null,null,null,null,null,null,null,null,Owner-Occupied,null,null,null,null,"m4ZOh4sBvqZCst4RZtTN"
3,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,2020-09-02T00:00:00.000Z,null,12/10/2020,E.ON,1972,Working Full time (>30hrs),Manager,null,null,null,null,null,0,0,null,null,2.4,Suspended,null,null,8030,null,Double,null,4,null,null,null,null,null,Practical_Noise,null,null,None - Installation not recommended,null,null,4,Gas Boiler - Combi,Fire - Wood,9,"50,001+",1950 - 1966,Urban,Semi-Detached,C,House,null,null,null,null,null,null,null,null,null,Gas,Yes,null,null,null,null,null,null,null,null,null,null,Phoenix,2,0,2,0,null,No,No,null,null,null,41,null,NE3,EOH1410,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,null,null,Pitched,AB,No,No,No,No,null,None,null,null,null,null,null,Owner-Occupied,6,95,null,Cavity_Insulated,"qYZOh4sBvqZCst4RZtTN"
3,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,2020-09-09T00:00:00.000Z,null,16/09/2020,E.ON,4666,Prefer not to say,Prefer not to say,0,14.3,3.8,521,9875.86,1,0,null,null,2.5,Suspended,null,null,18421,null,Double,null,1,null,null,null,null,null,null,null,null,Hybrid,null,null,4,Gas Boiler - Combi,None,7,Prefer not to say,1900 - 1929,Urban,Mid-Terrace,null,House,null,null,3566,null,92.71,0,null,10777.3,5.377,Gas,Yes,null,null,null,null,None Required,null,null,null,null,null,E.ON,2,2,2,0,null,No,Yes - Ground Loop,No,Other,null,null,null,NE6,EOH0671,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,null,null,Pitched,DE,No,No,No,Yes,null,None,null,null,null,null,null,Rented (Social),null,58,to replace inefficient / old gas boiler,Cavity_No_insulation,"t4ZOh4sBvqZCst4RZtTN"
null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,2020-09-29T00:00:00.000Z,null,13/10/2020,E.ON,null,Working Part time,Professional,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"25,001 - 30,000",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Phoenix,null,null,null,null,null,null,null,No,Practical_DisruptionWorks,Practical_Aesthetics,67,null,NE7,EOH0215,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,null,null,null,C1,null,null,null,null,null,null,null,null,null,null,null,Owner-Occupied,23,null,null,null,"xYZOh4sBvqZCst4RZtTN"
2,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,2020-09-29T00:00:00.000Z,null,08/10/2020,E.ON,null,Retired,Pensioner,null,null,null,null,null,1,0,null,null,2.4,Suspended,null,null,null,null,Double,null,2,null,null,null,null,null,null,null,null,ASHP,null,null,3,Gas Boiler - Combi,Fire - Electric,6,"30,001 - 40,000",1967 - 1975,Suburban,Semi-Detached,null,House,null,null,null,null,null,null,null,null,null,Gas,Yes,null,null,null,null,null,null,null,null,null,null,Phoenix,2,0,1,0,null,Yes,No,No,Economic_RunningCosts,n/a,56,null,NE5,EOH1651,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,null,null,Pitched,DE,Yes,No,Yes,Yes,null,None,null,null,null,null,null,Owner-Occupied,2,72,null,Cavity_Insulated,"yoZOh4sBvqZCst4RZtTN"
null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,2020-09-22T00:00:00.000Z,null,24/09/2020,E.ON,null,Working Full time (>30hrs),Manager,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"50,001+",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Phoenix,null,null,null,null,null,null,null,No,Practical_DisruptionWorks,null,57,null,NE3,EOH2087,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,null,null,null,AB,null,null,null,null,null,null,null,null,null,null,null,Owner-Occupied,13,null,null,null,"4oZOh4sBvqZCst4RZtTN"
3,null,,0,No,0,0,0,0,2870.07,5739.82,null,0,null,0,0,2020-09-24T00:00:00.000Z,05/03/2021,30/11/2020,E.ON,1730,Retired,Pensioner,null,14.3,3.8,608,10245.07,0,0,null,0,2.4,Solid,null,null,null,No,Double,none,2,Daikin,1,Hybrid,Separate_New Boiler,EHY2KOMB28AA,null,null,none,Hybrid,R32,4,5,Gas Boiler - Combi,None,6,Prefer not to say,1930 - 1949,Urban,Semi-Detached,C,House,3,0,3311,55,82.83,0,2.96,12377.4,6.175,Gas,Yes,no,0,0,No,None Required,None,0,8,0,Phoenix,Phoenix,1,0,2,0,null,No,No,Yes,null,null,72,null,NE3,EOH2862,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,null,null,Pitched,DE,No,No,No,Yes,null,None,null,null,null,null,null,Owner-Occupied,3,92,null,Cavity_Insulated,"7YZOh4sBvqZCst4RZtTN"
null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,2020-10-13T00:00:00.000Z,null,05/11/2020,E.ON,null,Working Full time (>30hrs),Manager,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"50,001+",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,E.ON,null,null,null,null,null,null,null,No,other,null,null,null,NE4,EOH1617,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,null,null,null,AB,null,null,null,null,null,null,null,null,null,null,null,Owner-Occupied,10,null,null,null,"IIZOh4sBvqZCst4RZtXN"
2,null,,0,No,0,0,0,0,2315.87,5739.82,null,0,null,0,0,2020-10-16T00:00:00.000Z,15/01/2021,12/11/2020,E.ON,2250,Working Full time (>30hrs),Professional,null,14.3,3.8,547,9690.87,0,0,null,0,2.3,Suspended,null,null,7700,No,Double,none,4,Daikin,1,Hybrid,Separate_New Boiler,EHY2KOMB28AA,null,null,none,Hybrid,R32,4,3,Gas Boiler - Combi,None,5,"16,201 - 20,000",1967 - 1975,Urban,End-Terrace,D,House,2,null,2674,55,84.87,0,2.96,11024,4.55,Gas,Yes,no,0,0,No,None Required,None,0,6,0,Phoenix,Phoenix,2,1,2,0,null,No,No,Yes,null,null,27,null,NE15,EOH0236,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,null,null,Pitched,C1,No,No,No,Yes,null,None,null,null,null,null,null,Owner-Occupied,1,61,null,Cavity_Insulated,"MIZOh4sBvqZCst4RZtXN"
3,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,2020-10-21T00:00:00.000Z,null,26/10/2020,E.ON,null,Working Part time,Skilled Manual Worker,null,null,null,null,null,1,0,Potential for bill savings,null,2.6,Solid,null,null,null,null,Double,null,1,null,null,null,null,null,Technical_Size,null,null,None - Installation not recommended,null,null,4,Gas Boiler - Combi,Electric - Warm Air,9,Prefer not to say,1930 - 1949,Suburban,Detached,E,House,null,null,null,null,null,null,null,null,null,Gas,Yes,null,null,null,null,null,null,null,null,null,null,E.ON,1,3,1,0,null,Yes,Yes - Ground Loop,null,null,null,null,null,NE5,EOH2377,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,null,null,Pitched,C2,No,No,No,No,null,None,null,null,null,null,null,Owner-Occupied,null,143,null,Cavity_No_insulation,"R4ZOh4sBvqZCst4RZtXN"
null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,2020-10-23T00:00:00.000Z,null,11/11/2020,E.ON,null,Retired,Pensioner,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"30,001 - 40,000",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Phoenix,null,null,null,null,null,null,null,No,Practical_DisruptionWorks,null,null,null,NE7,EOH2364,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,null,null,null,DE,null,null,null,null,null,null,null,null,null,null,null,Owner-Occupied,41,null,null,null,"3bFOh4sBao7bgilCaP7B"
2,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,2020-10-29T00:00:00.000Z,null,12/11/2020,E.ON,3308,Working Full time (>30hrs),Professional,null,null,null,null,null,0,1,null,null,2.9,Solid,null,null,23009,null,Double,null,5,null,null,null,null,null,Technical_Size,null,null,None - Installation not recommended,null,null,6,Gas Boiler - Combi,Fire - Gas,7,"50,001+",1900 - 1929,Urban,End-Terrace,null,House,null,null,null,null,null,null,null,null,null,Gas,Yes,null,null,null,null,null,null,null,null,null,null,Phoenix,2,0,2,0,null,No,No,null,null,null,57,null,NE6,EOH1542,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,null,null,Pitched,AB,No,No,No,No,null,None,null,null,null,null,null,Owner-Occupied,33,130,null,Solid_No_insulation,"DLFOh4sBao7bgilCaP_B"
null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,2020-11-05T00:00:00.000Z,null,18/11/2020,E.ON,null,Working Full time (>30hrs),Professional,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,null,null,null,null,null,Practical_SpaceExternal,null,null,None - Installation not recommended,null,null,null,null,null,null,"20,001 - 25,000",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Phoenix,null,null,null,null,null,null,null,null,null,null,26,null,NE7,EOH0892,null,NO,NO,NO,NO,NO,NO,YES,NO,YES,null,null,null,C1,null,null,null,null,null,null,null,null,null,null,null,Owner-Occupied,2,null,null,null,"M7FOh4sBao7bgilCaP_B"
4,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,2020-11-05T00:00:00.000Z,null,23/11/2020,E.ON,null,Working Full time (>30hrs),Professional,null,null,null,null,null,1,0,null,null,2.7,Suspended,null,null,null,null,Double,null,3,null,null,null,null,null,Technical_Size,null,null,null,null,null,5,Gas Boiler - Combi,Fire - Wood,9,"50,001+",1930 - 1949,Urban,Semi-Detached,null,House,null,null,null,null,null,null,null,null,null,Gas,Yes,null,null,null,null,null,null,null,null,null,null,Phoenix,2,0,3,0,null,No,No,null,null,null,52,null,NE3,EOH0135,null,NO,NO,NO,NO,NO,NO,YES,YES,NO,null,null,Pitched,AB,No,No,No,No,null,None,null,null,null,null,null,Owner-Occupied,23,140,null,Cavity_Insulated,"OLFOh4sBao7bgilCaP_B"
null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,2020-11-07T00:00:00.000Z,null,21/12/2020,E.ON,null,Working Full time (>30hrs),Professional,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"50,001+",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Phoenix,null,null,null,null,null,null,null,No,Practical_DisruptionWorks,null,33,null,NE15,EOH1071,null,NO,NO,NO,NO,NO,NO,NO,YES,YES,null,null,null,AB,null,null,null,null,null,null,null,null,null,null,null,Owner-Occupied,4,null,null,null,"Q7FOh4sBao7bgilCaP_B"
null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,2020-11-09T00:00:00.000Z,null,25/11/2020,E.ON,null,Working Full time (>30hrs),Clerical,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"30,001 - 40,000",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Phoenix,null,null,null,null,null,null,null,No,Practical_DisruptionWorks,null,46,null,NE5,EOH1059,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,null,null,null,C1,null,null,null,null,null,null,null,null,null,null,null,Owner-Occupied,3,null,null,null,"TrFOh4sBao7bgilCaP_B"
